locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
STM0694	STM0694	1	AE006468	757131	757661	-		flavodoxin 1	0.5066	17
STM0695	STM0695	1	AE006468	757812	758105	-		LexA regulated, putative SOS response	0.5272	11
STM0696	STM0696	1	AE006468	758239	759009	-		putative enzyme	0.5616	29
STM0697	STM0697	1	AE006468	759194	759736	+		negative modulator of initiation of replication	0.5120	19
STM0698	STM0698	1	AE006468	759761	761401	+		phosphoglucomutase	0.5619	63
STM0699	STM0699	1	AE006468	761516	762001	-		putative cytoplasmic protein	0.5082	30
STM0700	STM0700	1	AE006468	762066	763385	-		APC family, putrescine/ornithine antiporter	0.5409	62
STM0701	STM0701	1	AE006468	763382	765580	-		ornithine decarboxylase isozyme, inducible	0.5389	90
STM0702	STM0702	1	AE006468	766342	767019	-		response regulator in two-component regulatory system with KdpD	0.5634	26
STM0703	STM0703	1	AE006468	767016	769700	-		sensory kinase in two-component regulatory system wtih KdpE	0.5888	93
STM0704	STM0704	1	AE006468	769697	770281	-		P-type ATPase, high-affinity potassium transport system, C chain	0.6000	24
STM0705	STM0705	1	AE006468	770290	772338	-		P-type ATPase, high-affinity potassium transport system, B chain	0.5881	69
STM0706	STM0706	1	AE006468	772359	774038	-		P-type ATPase, high-affinity potassium transport system, A chain	0.5708	58
STM0707	STM0707	1	AE006468	774038	774127	-		putative outer membrane protein	0.4889	6
STM0708	STM0708	1	AE006468	774464	774670	+		putative periplasmic protein	0.5072	10
STM0709	STM0709	1	AE006468	774781	776202	+		deoxyribodipyrimidine photolyase (photoreactivation)	0.5696	55
STM0710	STM0710	1	AE006468	776241	777722	-		putative POT family transport protein	0.5479	75
STM0711	STM0711	1	AE006468	778051	778794	+		putative cytoplasmic protein	0.5551	28
STM0712	STM0712	1	AE006468	778810	779466	+		putative carboxylase	0.6073	19
STM0713	STM0713	1	AE006468	779460	780392	+		putative carboxylase	0.5831	34
STM0714	STM0714	1	AE006468	780382	781116	+		putative lactam utilization protein	0.5932	25
STM0715	STM0715	1	AE006468	781440	781571	+		putative cytoplasmic protein	0.3939	10
STM0716	STM0716	1	AE006468	781631	782197	+		putative phage integrase	0.5062	29
STM0717	STM0717	1	AE006468	782657	782992	+		putative inner membrane protein	0.5536	10
STM0718	STM0718	1	AE006468	782994	783734	+		putative cytoplasmic protein	0.5655	30
STM0719	STM0719	1	AE006468	784020	785171	+		putative UDP-galactopyranose mutase	0.3880	99
STM0720	STM0720	1	AE006468	785168	786064	+		putative glycosyl transferase	0.3712	87
STM0721	STM0721	1	AE006468	786077	787210	+		putative glycosyl transferase	0.3589	103
STM0722	STM0722	1	AE006468	787339	788109	+		putative ABC transporter permease protein	0.3606	72
STM0723	STM0723	1	AE006468	788113	788823	+		putative ABC-type polysaccharide/polyol phosphate transport system, ATPase component	0.3966	53
STM0724	STM0724	1	AE006468	788917	790695	+		putative glycosyltransferase, cell wall biogenesis	0.3249	164
STM0725	STM0725	1	AE006468	790888	791721	+		putative glycosyltransferase, cell wall biogenesis	0.3165	74
STM0726	STM0726	1	AE006468	791779	793674	+		putative glycosyl transferase	0.3581	166
STM0727	STM0727	1	AE006468	793742	793879	+		putative cytoplasmic protein	0.5000	7
STM0728	STM0728	1	AE006468	793928	794719	+		endonuclease VIII	0.5290	34
STM0729	STM0729	1	AE006468	794774	795820	-		putative transport protein	0.5616	49
STM0730	STM0730	1	AE006468	795957	797240	-		citrate synthase	0.5273	45
STM0731	STM0731	1	AE006468	797200	797586	+		putative inner membrane protein	0.4444	26
STM0732	STM0732	1	AE006468	797995	798384	+		succinate dehydrogenase, cytochrome b556	0.4846	17
STM0733	STM0733	1	AE006468	798378	798725	+		succinate dehydrogenase, hydrophobic subunit	0.5057	16
STM0734	STM0734	1	AE006468	798725	800491	+		succinate dehydrogenase, flavoprotein subunit	0.5886	56
STM0735	STM0735	1	AE006468	800505	801224	+		succinate dehydrogenase, Fe-S protein	0.5111	37
STM0736	STM0736	1	AE006468	801748	804549	+		2-oxoglutarate dehydrogenase decarboxylase component	0.5585	88
STM0737	STM0737	1	AE006468	804564	805772	+		2-oxoglutarate dehydrogenase (dihydrolipoyltranssuccinase E2 component)	0.5633	38
STM0738	STM0738	1	AE006468	805914	807080	+		succinyl-CoA synthetase, beta subunit	0.5656	37
STM0739	STM0739	1	AE006468	807080	807949	+		succinyl-CoA synthetase, alpha subunit	0.5667	38
STM0740	STM0740	1	AE006468	809532	811100	+		cytochrome d terminal oxidase, polypeptide subunit I	0.5373	62
STM0741	STM0741	1	AE006468	811116	812255	+		cytochrome d terminal oxidase polypeptide subunit II	0.5491	45
STM0742	STM0742	1	AE006468	812270	812383	+		putative outer membrane lipoprotein	0.5088	4
STM0743	STM0743	1	AE006468	812520	812801	+		putative inner membrane lipoprotein	0.5213	12
STM0744	STM0744	1	AE006468	813030	813434	+		putative esterase	0.5037	16
STM0745	STM0745	1	AE006468	813431	814123	+		tol protein, membrane-spanning inner membrane protein	0.5238	29
STM0746	STM0746	1	AE006468	814127	814555	+		tol protein, role in outer membrane integrity	0.5105	22
STM0747	STM0747	1	AE006468	814620	815843	+		tol protein, membrane spanning protein	0.5882	31
STM0748	STM0748	1	AE006468	815967	817259	+		tol protein required for outer membrane integrity	0.5568	54
STM0749	STM0749	1	AE006468	817294	817818	+		tol protein required for outer membrane integrity	0.5371	26
STM0750	STM0750	1	AE006468	817828	818616	+		putative periplasmic protein	0.5234	38
STM0751	STM0751	5	AE006468	818778	818850	+		tRNA-Lys	0.4795	3
STM0752	STM0752	5	AE006468	818985	819057	+		tRNA-Val	0.6027	2
STM0753	STM0753	5	AE006468	819064	819136	+		tRNA-Lys	0.4932	3
STM0754	STM0754	5	AE006468	819189	819261	+		tRNA-Lys	0.4658	4
STM0755	STM0755	5	AE006468	819399	819471	+		tRNA-Lys	0.4795	3
STM0756	STM0756	1	AE006468	820236	821279	+		quinolinate synthetase, A protein	0.5527	39
STM0757	STM0757	1	AE006468	821304	822023	+		NMN family, nucleoside/purine/pyrimidine transporter	0.5069	35
STM0758	STM0758	1	AE006468	822020	822958	-		putative CDF family transport protein	0.5495	29
STM0759	STM0759	1	AE006468	823069	823455	-		putative homeobox protein	0.4935	22
STM0760	STM0760	1	AE006468	823775	824827	+		3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, phenylalanine repressible)	0.5356	41
STM0761	STM0761	1	AE006468	824921	825466	-		fumarate hydratase Class I anaerobic	0.4249	40
STM0762	STM0762	1	AE006468	825481	826326	-		fumarate hydratase, alpha subunit	0.4090	69
STM0763	STM0763	1	AE006468	826495	827346	+		transcriptional regulator, lysR family	0.3521	69
STM0764	STM0764	1	AE006468	827347	828330	-		transcriptional regulator, lysR family	0.3953	69
STM0765	STM0765	1	AE006468	828574	829821	+		putative cation transporter	0.3806	107
STM0766	STM0766	1	AE006468	829871	830116	+		oxalacetate decarboxylase: gamma chain	0.6179	8
STM0768	STM0768	1	AE006468	831922	833223	+		oxalacetate decarboxylase: beta chain	0.6413	30
STM0769	STM0769	1	AE006468	833342	834040	+		putative cytoplasmic protein	0.5966	15
STM0770	STM0770	1	AE006468	834420	835499	+		putative ABC transport protein	0.5509	51
STM0771	STM0771	1	AE006468	835499	836275	+		putative ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	0.5637	35
STM0772	STM0772	1	AE006468	836366	837118	-		phosphoglyceromutase 1	0.5179	30
STM0773	STM0773	1	AE006468	837342	838382	-		galactose-1-epimerase (mutarotase)	0.5658	45
STM0774	STM0774	1	AE006468	838376	839524	-		galactokinase	0.5701	36
STM0775	STM0775	1	AE006468	839527	840573	-		galactose-1-phosphate uridylyltransferase	0.5845	32
STM0776	STM0776	1	AE006468	840584	841600	-		UDP-galactose 4-epimerase	0.5585	49
STM0777	STM0777	1	AE006468	841823	842731	-		putative inner membrane protein	0.4686	50
STM0778	STM0778	1	AE006468	842902	844377	-		putative ABC superfamily (atp_bind), molybdenum transporter	0.5542	67
STM0779	STM0779	1	AE006468	844445	845233	-		transcriptional repressor of modABCD operon (molybdate uptake)	0.5729	23
STM0780	STM0780	1	AE006468	845362	845511	+		putative outer membrane or exported	0.4667	8
STM0781	STM0781	1	AE006468	845678	846451	+		molybdate transporter	0.5504	28
STM0782	STM0782	1	AE006468	846451	847140	+		molybdate transporter	0.5942	25
STM0783	STM0783	1	AE006468	847143	848201	+		molybdate transporter	0.5590	40
STM0784	STM0784	1	AE006468	848202	849020	-		putative hydrolase of the HAD superfamily	0.5324	40
STM0785	STM0785	1	AE006468	849184	850179	+		putative 3-carboxymuconate cyclase	0.5572	47
STM0786	STM0786	1	AE006468	850323	851606	-		putative pectinesterase	0.5724	50
STM0787	STM0787	1	AE006468	851844	853067	+		Imidazolonepropionase	0.5833	56
STM0788	STM0788	1	AE006468	853064	854005	+		formimionoglutamate hydrolase	0.6168	26
STM0789	STM0789	1	AE006468	854050	854775	+		histidine utilization repressor	0.5689	23
STM0791	STM0791	1	AE006468	856658	858178	+		histidine ammonia lyase	0.6036	49
STM0792	STM0792	1	AE006468	858263	858739	-		putative phospholipid-binding protein	0.5849	20
STM0793	STM0793	1	AE006468	858797	860086	-		7,8-diaminopelargonic acid synthetase	0.5868	40
STM0794	STM0794	1	AE006468	860173	861213	+		biotin synthetase	0.5514	45
STM0795	STM0795	1	AE006468	861210	862367	+		7-keto-8-aminopelargonic acid synthetase	0.6045	40
STM0796	STM0796	1	AE006468	862351	863106	+		biotin biosynthesis; reaction prior to pimeloyl CoA	0.5979	22
STM0797	STM0797	1	AE006468	863099	863785	+		dethiobiotin synthetase	0.5910	36
STM0798	STM0798	1	AE006468	864436	866457	+		UvrB with UvrAC is a DNA excision repair enzyme	0.5534	72
STM0799	STM0799	1	AE006468	866766	866939	+		putative cytoplasmic protein	0.3736	15
STM0800	STM0800	1	AE006468	866947	869244	+		leucine-rich repeat protein	0.4600	149
STM0801	STM0801	1	AE006468	869336	870244	-		putative cytoplasmic protein	0.5435	44
STM0802	STM0802	1	AE006468	870641	871630	+		molybdopterin biosynthesis, protein A	0.5414	43
STM0803	STM0803	1	AE006468	871652	872164	+		molybdopterin biosynthesis, protein B	0.5556	15
STM0804	STM0804	1	AE006468	872167	872652	+		molybdopterin biosynthesis, protein C	0.5556	20
STM0805	STM0805	1	AE006468	872639	872890	+		molybdopterin biosynthesis protein	0.5754	4
STM0806	STM0806	1	AE006468	872892	873344	+		molybdopterin converting factor, subunit 2	0.6093	13
STM0807	STM0807	1	AE006468	873392	874096	+		putative permease	0.4979	49
STM0808	STM0808	1	AE006468	874243	874950	+		putative integral membrane protein	0.4393	61
STM0809	STM0809	1	AE006468	874974	875582	+		putative inner membrane protein	0.4105	45
STM0810	STM0810	1	AE006468	875590	876150	+		putative inner membrane protein	0.4545	35
STM0811	STM0811	1	AE006468	876153	877115	-		putative negative regulator	0.5483	49
STM0812	STM0812	1	AE006468	877115	878356	-		cardiolipin (CL) synthase	0.5435	55
STM0813	STM0813	1	AE006468	878353	879111	-		putative cytoplasmic protein	0.5652	31
STM0814	STM0814	1	AE006468	879244	879654	+		putative inner membrane protein	0.5645	19
STM0815	STM0815	1	AE006468	879616	880722	-		putative ABC superfamily (membrane) transport protein	0.5285	50
STM0816	STM0816	1	AE006468	880838	881968	-		putative ABC superfamily (membrane) transport protein	0.5447	47
STM0817	STM0817	1	AE006468	881961	883697	-		putative ABC-type multidrug transport system, ATPase component	0.5584	59
STM0818	STM0818	1	AE006468	883690	884685	-		membrane permease predicted cation efflux pump	0.5783	38
STM0819	STM0819	1	AE006468	884685	885359	-		putative transcriptional repressor (TetR/AcrR family)	0.5319	28
STM0820	STM0820	1	AE006468	885589	886953	+		putative ATP-dependent RNA helicase	0.5832	42
STM0821	STM0821	1	AE006468	887161	889305	+		LexA regulated (SOS) repair enzyme	0.5492	82
STM0822	STM0822	1	AE006468	889335	890309	+		putative transferase	0.5703	41
STM0823	STM0823	1	AE006468	890465	890725	-		putative periplasmic protein	0.5172	13
STM0825	STM0825	1	AE006468	891010	891276	-		putative DnaK suppressor protein	0.5206	11
STM0826	STM0826	1	AE006468	891481	892407	+		putative SAM-dependent methyltransferase	0.5469	40
STM0827	STM0827	1	AE006468	892404	894626	-		putative transport protein	0.5439	108
STM0828	STM0828	1	AE006468	894745	895467	-		glutamine high-affinity transporter	0.5228	21
STM0829	STM0829	1	AE006468	895464	896123	-		glutamine high-affinity transporter	0.5318	27
STM0830	STM0830	1	AE006468	896267	897013	-		glutamine high-affinity transporter	0.4886	38
STM0831	STM0831	1	AE006468	897490	897993	-		stress response DNA-binding protein; starvation induced resistance to H2O2	0.4821	29
STM0832	STM0832	1	AE006468	898296	899183	-		putative permease	0.5619	37
STM0833	STM0833	1	AE006468	899537	900052	+		outer membrane protease, receptor for phage OX2	0.5174	32
STM0834	STM0834	1	AE006468	900115	901695	-		putative integral membrane protein	0.5180	83
STM0835	STM0835	1	AE006468	902274	902747	+		putative Mn-dependent transcriptional regulator	0.5295	15
STM0836	STM0836	1	AE006468	902744	903856	+		putative di- and tricarboxylate transporters	0.5472	46
STM0837	STM0837	1	AE006468	903900	904820	-		putative periplasmic protein	0.5537	46
STM0838	STM0838	1	AE006468	905039	906631	+		putative ATPase component of ABC transporter with duplicated ATPase domain	0.5330	65
STM0839	STM0839	1	AE006468	907240	907983	+		putative inner membrane protein	0.4355	50
STM0840	STM0840	1	AE006468	908012	908731	-		putative hydrolase of the HAD superfamily	0.4681	39
STM0841	STM0841	1	AE006468	908936	910201	-		putative cytoplasmic protein	0.5853	49
STM0842	STM0842	1	AE006468	910463	911272	+		putative hydrolase of the HAD superfamily	0.4938	33
STM0843	STM0843	1	AE006468	911350	913782	-		putative pyruvate formate lyase	0.5565	98
STM0844	STM0844	1	AE006468	913788	914687	-		putative pyruvate formate lyase activating enzyme	0.5556	38
STM0845	STM0845	1	AE006468	914965	915714	-		molybdopterin biosynthesis	0.5747	39
STM0846	STM0846	1	AE006468	915714	916955	-		molybdopterin biosynthesis protein	0.5797	46
STM0847	STM0847	1	AE006468	917152	918093	+		putative asparaginase	0.6019	31
STM0848	STM0848	1	AE006468	918104	919975	+		putative ATPase components of ABC-type transport system, containing duplicated ATPase domain	0.5753	69
STM0849	STM0849	1	AE006468	920008	921546	+		putative ABC transporter periplasmic binding protein	0.5328	77
STM0850	STM0850	1	AE006468	921607	922527	+		putative ABC transporter periplasmic binding protein	0.5461	34
STM0851	STM0851	1	AE006468	922530	923441	+		putative ABC transporter inner membrane component	0.5548	43
STM0852	STM0852	1	AE006468	923532	924857	-		putative Fe-S oxidoreductases family 1	0.5415	51
STM0853	STM0853	1	AE006468	925088	925471	+		putative cytoplasmic protein	0.5026	11
STM0854	STM0854	1	AE006468	926184	926699	+		putative cytoplasmic protein	0.3895	29
STM0855	STM0855	1	AE006468	926617	927471	+		putative electron transfer flavoprotein beta subunit	0.3778	72
STM0856	STM0856	1	AE006468	927482	928429	+		putative electron transfer flavoprotein alpha subunit	0.4146	74
STM0857	STM0857	1	AE006468	928723	929886	+		putative acyl-CoA dehydrogenase	0.4313	72
STM0858	STM0858	1	AE006468	930335	932020	+		putative dehydrogenase (flavoproteins)	0.4324	114
STM0859	STM0859	1	AE006468	932026	932916	-		putative LysR family transcriptional regulator	0.4018	63
STM0860	STM0860	1	AE006468	933181	933606	-		putative inner membrane protein	0.4390	26
STM0861	STM0861	1	AE006468	933953	934633	+		putative dehydrogenase	0.5404	32
STM0862	STM0862	1	AE006468	934630	935256	-		putative glutathione S-transferase	0.5439	24
STM0863	STM0863	1	AE006468	935500	936702	+		D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a	0.5395	42
STM0864	STM0864	1	AE006468	936747	937505	-		transcriptional repressor for deoxyribose operon (DeoR family)	0.5191	39
STM0865	STM0865	1	AE006468	937577	938185	-		putative permease	0.5517	28
STM0866	STM0866	1	AE006468	938498	939730	+		multidrug translocase	0.5531	56
STM0867	STM0867	1	AE006468	939784	940599	-		putative hydrolase	0.5135	43
STM0868	STM0868	1	AE006468	940596	941807	-		putative transport protein/putative regulator	0.5751	49
STM0869	STM0869	1	AE006468	941975	942595	+		putative regulator (TetR/Acr family)	0.5169	31
STM0870	STM0870	1	AE006468	942712	944397	-		putative transport protein	0.5391	86
STM0871	STM0871	1	AE006468	944668	945045	+		putative inner membrane protein	0.5159	21
STM0872	STM0872	1	AE006468	945077	945340	-		redox coenzyme for glutathione-dependent ribonucleotide reductase glutaredoxin1	0.4318	15
STM0873	STM0873	1	AE006468	945510	945800	+		putative inner membrane protein	0.5326	15
STM0874	STM0874	1	AE006468	945784	946506	+		oxygen-insensitive NADPH nitroreductase	0.5408	34
STM0875	STM0875	1	AE006468	946564	947466	+		ribosomal protein S6 modification protein	0.5637	41
STM0876	STM0876	1	AE006468	947563	948039	+		putative cytoplasmic protein	0.5010	17
STM0877	STM0877	1	AE006468	948388	949500	+		ABC superfamily (peri_perm), putrescine transporter	0.5220	46
STM0878	STM0878	1	AE006468	949588	950721	+		putrescine transporter	0.5476	40
STM0879	STM0879	1	AE006468	950731	951684	+		putrescine transporter	0.5231	44
STM0880	STM0880	1	AE006468	951681	952526	+		putrescine transporter	0.5757	27
STM0881	STM0881	1	AE006468	952600	953073	+		putative inner membrane protein	0.5042	25
STM0882	STM0882	1	AE006468	953116	954246	+		putative tRNA (uracil-5-)-methyltransferase	0.5579	46
STM0884	STM0884	1	AE006468	954529	955872	+		putative inner membrane protein; homology to SgaT from Vibrio	0.4561	93
STM0885	STM0885	1	AE006468	955902	956222	+		putative inner membrane protein; homology to SgaT from Vibrio	0.3863	25
STM0886	STM0886	1	AE006468	956232	957719	+		putative sulfatase	0.5188	77
STM0887	STM0887	1	AE006468	957938	958669	-		arginine 3rd transport system	0.4863	38
STM0888	STM0888	1	AE006468	958906	959574	-		arginine 3rd transport system	0.5202	42
STM0889	STM0889	1	AE006468	959574	960290	-		arginine 3rd transport system	0.5495	29
STM0890	STM0890	1	AE006468	960297	961028	-		arginine transport system	0.5178	35
STM0891	STM0891	1	AE006468	961046	961774	-		arginine transport system	0.5364	27
STM0892	STM0892	1	AE006468	962004	962519	-		putative lipoprotein	0.5678	24
STM0893	STM0893	1	AE006468	962615	963940	-		putative Fels-1 prophage integrase	0.4736	68
STM0894	STM0894	1	AE006468	963968	964210	-		putative Fels-1 prophage excisionase	0.4691	15
STM0895	STM0895	1	AE006468	964576	964884	-		Fels-1 prophage protein	0.4854	12
STM0896	STM0896	1	AE006468	965344	965736	-		Fels-1 prophage protein	0.4860	18
STM0897	STM0897	1	AE006468	966312	966728	-		Fels-1 prophage protein	0.4149	23
STM0898	STM0898	1	AE006468	967914	968609	-		putative Fels-1 prophage transcriptional regulator	0.4253	42
STM0898A	STM0898A	1	AE006468	968722	968976	+		Fels-1 prophage protein	0.4824	8
STM0899	STM0899	1	AE006468	969476	969844	+		Fels-1 prophage protein	0.4715	13
STM0900	STM0900	1	AE006468	970002	971585	+		putative Fels-1 prophage DNA or RNA helicases of superfamily II	0.5290	61
STM0901	STM0901	1	AE006468	971582	972550	+		Fels-1 putative prophage DNA primase	0.5201	37
STM0902	STM0902	1	AE006468	972550	973410	+		Fels-1 prophage protein	0.5006	42
STM0903	STM0903	1	AE006468	973407	974222	+		putative Fels-1 prophage chaparone	0.5466	29
STM0904	STM0904	1	AE006468	974377	974769	-		Fels-1 prophage protein	0.3690	35
STM0905	STM0905	1	AE006468	975827	976225	+		Fels-1 prophage hypothetical protein	0.4135	20
STM0906	STM0906	1	AE006468	976815	977159	+		Fels-1 prophage protein	0.4957	11
STM0907	STM0907	1	AE006468	977162	977776	+		putative Fels-1 prophage chitinase	0.5350	22
STM0908	STM0908	1	AE006468	977773	978258	+		Fels-1 prophage protein	0.5391	15
STM0909	STM0909	1	AE006468	979093	979584	+		Fels-1 prophage protein	0.5142	20
STM0910	STM0910	1	AE006468	979571	981679	+		Fels-1 prophage protein	0.5671	79
STM0911	STM0911	1	AE006468	981879	983414	+		Fels-1 prophage protein	0.6048	34
STM0912	STM0912	1	AE006468	983266	985452	+		Fels-1 prophage protease subunits of ATP-dependent proteases	0.5766	58
STM0913	STM0913	1	AE006468	985466	986137	-		Fels-1 prophage protein	0.5997	18
STM0914	STM0914	1	AE006468	986136	986720	+		putative Fels-1 phage tail component	0.5863	14
STM0915	STM0915	1	AE006468	986717	987118	+		Fels-1 prophage protein	0.5498	10
STM0916	STM0916	1	AE006468	987129	987872	+		putative Fels-1 prophage major tail protein	0.5685	19
STM0917	STM0917	1	AE006468	988339	988656	+		putative Fels-1 prophage minor tail protein	0.5818	5
STM0918	STM0918	1	AE006468	988628	991789	+		putative Fels-1 prophage minor tail protein	0.5718	84
STM0919	STM0919	1	AE006468	991789	992118	+		putative Fels-1 prophage minor tail protein	0.5576	10
STM0920	STM0920	1	AE006468	992245	992763	+		Fels-1 prophage attachment and invasion protein	0.4566	35
STM0921	STM0921	1	AE006468	992895	993590	+		putative Fels-1 prophage minor tail protein	0.5805	17
STM0922	STM0922	1	AE006468	993602	994336	+		putative Fels-1 prophage tail assembly protein	0.5578	25
STM0923	STM0923	1	AE006468	994234	994911	+		putative Fels-1 prophage tail assembly protein	0.5900	22
STM0924	STM0924	1	AE006468	994965	995489	-		putative Fels-1 prophage Cu/Zn superoxide dismutase	0.4857	26
STM0925	STM0925	1	AE006468	995583	999029	+		putative Fels-1 prophage host specificity protein	0.5709	129
STM0926	STM0926	1	AE006468	999073	1001445	+		putative Fels-1 prophage minor tail protein	0.5824	78
STM0927	STM0927	1	AE006468	1001445	1002020	+		putative Fels-1 prophage tail assembly protein	0.4722	27
STM0928	STM0928	1	AE006468	1002091	1003329	-		sialidase	0.4044	86
STM0929	STM0929	1	AE006468	1003903	1004274	-		putative inner membrane protein	0.3548	36
STM0930	STM0930	1	AE006468	1005370	1005693	+		putative cytoplasmic protein	0.5370	13
STM0931	STM0931	1	AE006468	1005690	1006520	+		putative aminidase	0.5704	38
STM0932	STM0932	1	AE006468	1006517	1007530	-		putative nucleoside-diphosphate-sugar epimerase	0.5483	46
STM0933	STM0933	1	AE006468	1007626	1009059	-		putative nucleoside-diphosphate-sugar epimerase	0.5802	55
STM0934	STM0934	1	AE006468	1009070	1010071	-		L-allo-threonine aldolase	0.5978	42
STM0935	STM0935	1	AE006468	1010110	1011828	-		pyruvate dehydrogenase/oxidase FAD and thiamine PPi cofactors, cytoplasmic in absence of cofactors	0.5707	65
STM0936	STM0936	1	AE006468	1011986	1012957	-		NADH oxidoreductase for hcp gene product	0.5638	41
STM0937	STM0937	1	AE006468	1012966	1014618	-		hybrid cluster protein	0.5687	50
STM0938	STM0938	1	AE006468	1014762	1015661	-		putative inner membrane protein	0.5100	53
STM0939	STM0939	1	AE006468	1015863	1017521	+		homology with RecF protein	0.5546	60
STM0940	STM0940	1	AE006468	1017518	1018486	-		homolog of virK	0.4685	63
STM0941	STM0941	1	AE006468	1018614	1019732	+		putative membrane protein	0.5335	48
STM0942	STM0942	1	AE006468	1019729	1021675	+		putative ABC superfamily (atp&memb) transport protein	0.5444	83
STM0943	STM0943	1	AE006468	1021805	1022026	-		CspA-like protein but not cold shock induced	0.5180	7
STM0944	STM0944	1	AE006468	1022350	1022670	+		putative cytoplasmic protein	0.4642	17
STM0945	STM0945	1	AE006468	1022701	1024977	+		ATP-binding subunit of serine protease	0.5419	77
STM0946	STM0946	1	AE006468	1025169	1025627	+		IS200 transposase	0.4597	31
STM0947	STM0947	1	AE006468	1026090	1026773	-		putative integrase protein	0.5044	34
STM0948	STM0948	1	AE006468	1026944	1027345	-		putative cytoplasmic protein	0.5025	16
STM0949	STM0949	5	AE006468	1027444	1027528	-		tRNA-Ser	0.6000	4
STM0950	STM0950	1	AE006468	1027682	1028359	-		homolog of slsA in STM	0.5383	38
STM0951	STM0951	1	AE006468	1028379	1029239	-		putative cytoplasmic protein	0.5621	27
STM0952	STM0952	1	AE006468	1029348	1030259	+		putative transcriptional regulator, lysR family	0.5789	30
STM0953	STM0953	1	AE006468	1030350	1030568	-		protein chain initiation factor IF-1	0.4886	14
STM0954	STM0954	1	AE006468	1030496	1030879	-		putative inner membrane protein	0.4349	30
STM0955	STM0955	1	AE006468	1030880	1031584	-		leucyl, phenylalanyl-tRNA-protein transferase	0.5674	26
STM0956	STM0956	1	AE006468	1031629	1033350	-		cytochrome-related transporter	0.5703	70
STM0957	STM0957	1	AE006468	1033351	1035117	-		cytochrome-related transporter	0.5659	64
STM0958	STM0958	1	AE006468	1035231	1036199	-		thioredoxin reductase	0.5501	35
STM0959	STM0959	1	AE006468	1036745	1037239	+		regulator for lrp regulon and high-affinity branched-chain amino acid transport system	0.4909	28
STM0960	STM0960	1	AE006468	1037374	1041429	+		cell division protein	0.5856	166
STM0961	STM0961	1	AE006468	1041569	1042183	+		periplasmic protein	0.5041	34
STM0962	STM0962	1	AE006468	1042193	1043536	+		putative polynucleotide enzyme	0.5707	57
STM0963	STM0963	1	AE006468	1043795	1045087	+		serine tRNA synthetase	0.5406	52
STM0964	STM0964	1	AE006468	1045324	1047768	+		anaerobic dimethyl sulfoxide reductase, subunit A	0.5354	118
STM0965	STM0965	1	AE006468	1047779	1048396	+		anaerobic dimethyl sulfoxide reductase, subunit B	0.5712	22
STM0966	STM0966	1	AE006468	1048398	1049261	+		anaerobic dimethyl sulfoxide reductase, subunit C	0.5822	30
STM0968	STM0968	1	AE006468	1049611	1050759	+		putative MFS family transport protein	0.5178	65
STM0969	STM0969	1	AE006468	1050977	1052398	+		putative APC family, amino-acid transporter	0.4726	84
STM0970	STM0970	1	AE006468	1052691	1053515	-		pyruvate formate lyase activating enzyme 1	0.4812	43
STM0971	STM0971	1	AE006468	1053607	1053933	-		putative cytoplasmic protein	0.4495	20
STM0972	STM0972	1	AE006468	1054064	1055023	+		homologous to secreted protein sopD	0.3333	91
STM0973	STM0973	1	AE006468	1055099	1057381	-		pyruvate formate lyase I, induced anaerobically	0.5164	93
STM0974	STM0974	1	AE006468	1057441	1058298	-		formate transporter	0.4837	47
STM0975	STM0975	1	AE006468	1058703	1060463	-		putative cytoplasmic protein	0.5275	75
STM0976	STM0976	1	AE006468	1060600	1061292	+		putative inner membrane protein	0.5152	24
STM0977	STM0977	1	AE006468	1061478	1062566	+		3-phosphoserine aminotransferase	0.5363	48
STM0978	STM0978	1	AE006468	1062637	1063920	+		3-enolpyruvylshikimate-5-phosphate synthetase	0.5389	64
STM0979	STM0979	1	AE006468	1064063	1064824	+		putative Zn-dependent protease with chaperone function	0.5105	34
STM0980	STM0980	1	AE006468	1064997	1065680	+		cytidine monophosphate (CMP) kinase	0.5570	23
STM0981	STM0981	1	AE006468	1065794	1067467	+		30S ribosomal subunit protein S1	0.5102	52
STM0982	STM0982	1	AE006468	1067623	1067907	+		integration host factor (IHF), beta subunit	0.5018	14
STM0983	STM0983	1	AE006468	1068137	1070401	+		putative recombination protein	0.5532	113
STM0984	STM0984	1	AE006468	1070438	1072186	+		multicopy repressor of htrB transport protein; ABC superfamily (atp&membrane)	0.5169	80
STM0985	STM0985	1	AE006468	1072183	1073160	+		tetraacyldisaccharide 4	0.5992	36
STM0986	STM0986	1	AE006468	1073204	1074436	+		putative cytoplasmic protein	0.5539	53
STM0987	STM0987	1	AE006468	1074488	1074670	+		putative inner membrane protein	0.4645	8
STM0988	STM0988	1	AE006468	1074667	1075413	+		CTP:CMP-3-deoxy-D-manno-octulosonate transferase	0.5743	26
STM0989	STM0989	1	AE006468	1075624	1076517	+		mukF protein (killing factor KicB)	0.5537	35
STM0990	STM0990	1	AE006468	1076497	1077273	-		putative KicA protein	0.5650	38
STM0991	STM0991	1	AE006468	1077409	1078212	+		S-adenosylmethionine-dependent methyltransferase	0.5560	33
