Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names (primary),Gene Names (ORF),Gene Names (synonym)
P37921,reviewed,FIMA1_SALTY,"Type-1 fimbrial protein, A chain (Type-1A pilin)",fimA STM0543,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),185,fimA,,
P39432,reviewed,NCPP_SALTY,"Inosine/xanthosine triphosphatase, ITPase/XTPase, EC 3.6.1.73 (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase, NTPase)",yjjX STM4584,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),171,yjjX,,
P39434,reviewed,SLT_SALTY,"Soluble lytic murein transglycosylase, EC 4.2.2.n1 (Peptidoglycan lytic exotransglycosylase) (Slt70)",slt STM4582,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),645,slt,,
P40676,reviewed,SLYA_SALTY,Transcriptional regulator SlyA (Cytolysin SlyA) (Salmolysin),slyA STM1444,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),144,slyA,,
P40687,reviewed,TOP3_SALTY,"DNA topoisomerase 3, EC 5.6.2.1 (DNA topoisomerase III)",topB STM1298,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),649,topB,,
P40720,reviewed,FUMA_SALTY,"Fumarate hydratase class I, aerobic, EC 4.2.1.2 (Fumarase A) (Oxaloacetate keto--enol-isomerase, OAAKE isomerase) (Oxaloacetate tautomerase, EC 5.3.2.2)",fumA STM1468,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),580,fumA,,
P40723,reviewed,MURI_SALTY,"Glutamate racemase, EC 5.1.1.3",murI STM4131,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),283,murI,,
P40727,reviewed,FLHB_SALTY,Flagellar biosynthetic protein FlhB,flhB STM1914,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),383,flhB,,
P40729,reviewed,FLHA_SALTY,Flagellar biosynthesis protein FlhA,flhA STM1913,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),692,flhA,,
P40731,reviewed,TSAD_SALTY,"tRNA N6-adenosine threonylcarbamoyltransferase, EC 2.3.1.234 (N6-L-threonylcarbamoyladenine synthase, t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)",tsaD gcp STM3208,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),337,tsaD,,gcp
P40813,reviewed,T1M_SALTY,"Type I restriction enzyme StySJI methylase subunit, M protein, EC 2.1.1.72 (Type I methyltransferase M.StySJI, M.StySJI) (Type I restriction and modification system SB)",hsdM hsdT STM4525,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),529,hsdM,,hsdT
P40814,reviewed,T3MO_SALTY,"Type III restriction-modification enzyme StyLTI Mod subunit, M.StyLTI, EC 2.1.1.72 (StyLTI methyltransferase) (Type III methyltransferase M.StyLTI)",mod STM0357,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),652,mod,,
P40816,reviewed,PRMC_SALTY,"Release factor glutamine methyltransferase, RF MTase, EC 2.1.1.297 (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)",prmC hemK STM1775,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),277,prmC,,hemK
P40819,reviewed,YEFM_SALTY,Orphan antitoxin YefM,yefM yhhV STM3559,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),75,yefM,,yhhV
P40827,reviewed,NLPD_SALTY,Murein hydrolase activator NlpD,nlpD STM2925,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),377,nlpD,,
P40860,reviewed,CYSA_SALTY,"Sulfate/thiosulfate import ATP-binding protein CysA, EC 7.3.2.3 (Sulfate-transporting ATPase)",cysA STM2441,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),365,cysA,,
P40865,reviewed,RHAR_SALTY,HTH-type transcriptional activator RhaR (L-rhamnose operon transcriptional activator RhaR),rhaR rhaC1 STM4049,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),282,rhaR,,rhaC1
P41789,reviewed,NTRC_SALTY,"DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I, NRI)",glnG ntrC STM4005,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),469,glnG,,ntrC
P43015,reviewed,HILA_SALTY,"Transcriptional regulator HilA, Protein IagA",hilA iagA STM2876,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),553,hilA,,iagA
P43019,reviewed,SODM_SALTY,"Superoxide dismutase [Mn], EC 1.15.1.1",sodA STM4055,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),206,sodA,,
P43666,reviewed,EPTB_SALTY,"Kdo(2)-lipid A phosphoethanolamine 7''-transferase, EC 2.7.8.42 (Phosphoethanolamine transferase EptB)",eptB STM3635,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),563,eptB,,
P43669,reviewed,PRC_SALTY,"Tail-specific protease, EC 3.4.21.102 (C-terminal-processing peptidase) (PRC protein) (Protease Re)",prc STM1845,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),682,prc,,
P46924,reviewed,LEUO_SALTY,Probable HTH-type transcriptional regulator LeuO,leuO STM0115,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),314,leuO,,
P51066,reviewed,ACEA_SALTY,"Isocitrate lyase, ICL, EC 4.1.3.1 (Isocitrase) (Isocitratase)",aceA STM4184,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),434,aceA,,
P52616,reviewed,FLJB_SALTY,Phase 2 flagellin,fljB H2 STM2771,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),506,fljB,,H2
P54700,reviewed,FLIP_SALTY,Flagellar biosynthetic protein FliP,fliP flaR STM1979,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),245,fliP,,flaR
P54702,reviewed,FLIR_SALTY,Flagellar biosynthetic protein FliR,fliR flaP STM1981,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),264,fliR,,flaP
P55881,reviewed,THIL_SALTY,"Thiamine-monophosphate kinase, TMP kinase, Thiamine-phosphate kinase, EC 2.7.4.16",thiL STM0419,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),325,thiL,,
P55883,reviewed,THIM_SALTY,"Hydroxyethylthiazole kinase, EC 2.7.1.50 (4-methyl-5-beta-hydroxyethylthiazole kinase, TH kinase, Thz kinase)",thiM STM2147,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),265,thiM,,
P55888,reviewed,XERC_SALTY,Tyrosine recombinase XerC,xerC STM3949 STMD1.41,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),300,xerC,STMD1.41,
P55892,reviewed,MOTB_SALTY,Motility protein B (Chemotaxis protein MotB),motB STM1922,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),309,motB,,
P55900,reviewed,SERC_SALTY,"Phosphoserine aminotransferase, EC 2.6.1.52 (Phosphohydroxythreonine aminotransferase, PSAT)",serC STM0977,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),362,serC,,
P55912,reviewed,PRPE_SALTY,"Propionate--CoA ligase, EC 6.2.1.17 (Propionyl-CoA synthetase)",prpE STM0371,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),628,prpE,,
P58480,reviewed,HTPG_SALTY,Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G),htpG STM0487,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),624,htpG,,
P58486,reviewed,MENC_SALTY,"o-succinylbenzoate synthase, OSB synthase, OSBS, EC 4.2.1.113 (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)",menC STM2306,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),320,menC,,
P58525,reviewed,MTOX_SALTY,"N-methyl-L-tryptophan oxidase, MTOX, EC 1.5.3.-",solA STM1160,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),372,solA,,
P58533,reviewed,DTD_SALTY,"D-aminoacyl-tRNA deacylase, DTD, EC 3.1.1.96 (Gly-tRNA(Ala) deacylase)",dtd STM4028,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),145,dtd,,
P58580,reviewed,GSHB_SALTY,"Glutathione synthetase, EC 6.3.2.3 (GSH synthetase, GSH-S, GSHase) (Glutathione synthase)",gshB STM3095,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),315,gshB,,
P58627,reviewed,NTPPB_SALTY,"7-methyl-GTP pyrophosphatase, m(7)GTP pyrophosphatase, EC 3.6.1.-",yceF STM1189,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),194,yceF,,
P58630,reviewed,NTPPA_SALTY,"dTTP/UTP pyrophosphatase, dTTPase/UTPase, EC 3.6.1.9 (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase, Nucleotide PPase)",yhdE STM3371,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),197,yhdE,,
P58650,reviewed,OADG3_SALTY,"Oxaloacetate decarboxylase gamma chain 3, EC 7.2.4.2",oadG3 dcoC STM0766,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),81,oadG3,,dcoC
P58651,reviewed,OADG1_SALTY,"Oxaloacetate decarboxylase gamma chain 1, EC 7.2.4.2",oadG1 STM0056,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),79,oadG1,,
P58661,reviewed,AAT_SALTY,"Aspartate aminotransferase, AspAT, EC 2.6.1.1 (Transaminase A)",aspC STM0998,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),396,aspC,,
P58662,reviewed,RCSC_SALTY,"Sensor histidine kinase RcsC, EC 2.7.13.3",rcsC STM2271,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),948,rcsC,,
P58671,reviewed,ISPG_SALTY,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin), EC 1.17.7.3 (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)",ispG gcpE STM2523,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),372,ispG,,gcpE
P58688,reviewed,FOLD_SALTY,"Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase, EC 1.5.1.5; Methenyltetrahydrofolate cyclohydrolase, EC 3.5.4.9 ]",folD STM0542,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),288,folD,,
P58696,reviewed,SYN_SALTY,"Asparagine--tRNA ligase, EC 6.1.1.22 (Asparaginyl-tRNA synthetase, AsnRS)",asnS tss STM1000,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),466,asnS,,tss
P58729,reviewed,AROC_SALTY,"Chorismate synthase, CS, EC 4.2.3.5 (5-enolpyruvylshikimate-3-phosphate phospholyase)",aroC STM2384,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),361,aroC,,
P59696,reviewed,T200_SALTY,Transposase for insertion sequence element IS200,tnpA1 STM0946; tnpA2 STM1957; tnpA3 STM2471; tnpA4 STM3032; tnpA5 STM3479; tnpA6 STM4311,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),152,tnpA1; tnpA2; tnpA3; tnpA4; tnpA5; tnpA6,; ; ; ; ; ,; ; ; ; ; 
P60195,reviewed,RBN_SALTY,"Ribonuclease BN, RNase BN, EC 3.1.-.- (Ribonuclease Z homolog, RNase Z homolog)",rbn elaC rnz STM2313,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),305,rbn,,elaC rnz
P60659,reviewed,SPEA_SALTY,"Biosynthetic arginine decarboxylase, ADC, EC 4.1.1.19",speA STM3086,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),658,speA,,
P60726,reviewed,RL4_SALTY,50S ribosomal protein L4,rplD STM3439,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),201,rplD,,
P60802,reviewed,PDXB_SALTY,"Erythronate-4-phosphate dehydrogenase, EC 1.1.1.290",pdxB STM2370,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),378,pdxB,,
P60959,reviewed,LGT_SALTY,"Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase, EC 2.5.1.145",lgt STM3002,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),291,lgt,,
P61378,reviewed,CCMA2_SALTY,"Cytochrome c biogenesis ATP-binding export protein CcmA 2, EC 7.6.2.5 (Heme exporter protein A 2)",ccmA2 STM2254,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),205,ccmA2,,
P61482,reviewed,LOLD_SALTY,"Lipoprotein-releasing system ATP-binding protein LolD, EC 7.6.2.-",lolD STM1218,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),233,lolD,,
P63351,reviewed,BTUD_SALTY,"Vitamin B12 import ATP-binding protein BtuD, EC 7.6.2.8 (Vitamin B12-transporting ATPase)",btuD STM1342,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),249,btuD,,
P63365,reviewed,PSTB_SALTY,"Phosphate import ATP-binding protein PstB, EC 7.3.2.1 (ABC phosphate transporter) (Phosphate-transporting ATPase)",pstB STM3854,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),257,pstB,,
P63466,reviewed,ACPS_SALTY,"Holo-[acyl-carrier-protein] synthase, Holo-ACP synthase, EC 2.7.8.7 (4'-phosphopantetheinyl transferase AcpS)",acpS dpj STM2577,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),126,acpS,,dpj
P63557,reviewed,ARGB_SALTY,"Acetylglutamate kinase, EC 2.7.2.8 (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase, NAGK)",argB STM4122,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),258,argB,,
P63601,reviewed,AROK_SALTY,"Shikimate kinase 1, SK 1, EC 2.7.1.71",aroK STM3487,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),173,aroK,,
P63725,reviewed,DHSC_SALTY,"Succinate dehydrogenase cytochrome b556 subunit, Cytochrome b-556",sdhC STM0732,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),129,sdhC,,
P63798,reviewed,CLSA_SALTY,"Cardiolipin synthase A, CL synthase, EC 2.7.8.-",clsA cls STM1739,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),486,clsA,,cls
P63828,reviewed,COAE_SALTY,"Dephospho-CoA kinase, EC 2.7.1.24 (Dephosphocoenzyme A kinase)",coaE STM0140,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),206,coaE,,
P63889,reviewed,CYSC_SALTY,"Adenylyl-sulfate kinase, EC 2.7.1.25 (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)",cysC STM2933,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),201,cysC,,
P63905,reviewed,DCD_SALTY,"dCTP deaminase, EC 3.5.4.13 (Deoxycytidine triphosphate deaminase)",dcd STM2121,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),193,dcd,,
P63923,reviewed,DEOB_SALTY,"Phosphopentomutase, EC 5.4.2.7 (Phosphodeoxyribomutase)",deoB STM4569,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),407,deoB,,
P63989,reviewed,DPO4_SALTY,"DNA polymerase IV, Pol IV, EC 2.7.7.7",dinB dinP STM0313,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),351,dinB,,dinP
P64008,reviewed,DUT_SALTY,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, dUTPase, EC 3.6.1.23 (dUTP pyrophosphatase)",dut STM3731,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),151,dut,,
P64036,reviewed,EFP_SALTY,"Elongation factor P, EF-P",efp STM4334,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),188,efp,,
P64209,reviewed,GCH1_SALTY,"GTP cyclohydrolase 1, EC 3.5.4.16 (GTP cyclohydrolase I, GTP-CH-I)",folE STM2193,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),222,folE,,
P64237,reviewed,RSMG_SALTY,"Ribosomal RNA small subunit methyltransferase G, EC 2.1.1.170 (16S rRNA 7-methylguanosine methyltransferase, 16S rRNA m7G methyltransferase)",rsmG STM3873,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),207,rsmG,,
P65215,reviewed,KDSA_SALTY,"2-dehydro-3-deoxyphosphooctonate aldolase, EC 2.5.1.55 (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase, KDO 8-P synthase, KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)",kdsA STM1772,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),284,kdsA,,
P65246,reviewed,KTHY_SALTY,"Thymidylate kinase, EC 2.7.4.9 (dTMP kinase)",tmk STM1200,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),213,tmk,,
P65386,reviewed,MOAA_SALTY,"GTP 3',8-cyclase, EC 4.1.99.22 (Molybdenum cofactor biosynthesis protein A)",moaA STM0802,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),329,moaA,,
P65398,reviewed,MOAE_SALTY,"Molybdopterin synthase catalytic subunit, EC 2.8.1.12 (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)",moaE STM0806,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),150,moaE,,
P65449,reviewed,MSRB_SALTY,"Peptide methionine sulfoxide reductase MsrB, EC 1.8.4.12 (Peptide-methionine (R)-S-oxide reductase)",msrB STM1291,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),137,msrB,,
P65454,reviewed,MURA_SALTY,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase, EC 2.5.1.7 (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase, EPT)",murA STM3307,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),419,murA,,
P65510,reviewed,KEFG_SALTY,"Glutathione-regulated potassium-efflux system ancillary protein KefG (Putative quinone oxidoreductase KefG, EC 1.6.5.2)",kefG STM3458,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),183,kefG,,
P65534,reviewed,NDK_SALTY,"Nucleoside diphosphate kinase, NDK, NDP kinase, EC 2.7.4.6 (Nucleoside-2-P kinase)",ndk STM2526,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),143,ndk,,
P65672,reviewed,CYSD_SALTY,"Sulfate adenylyltransferase subunit 2, EC 2.7.7.4 (ATP-sulfurylase small subunit) (Sulfate adenylate transferase, SAT)",cysD STM2935,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),302,cysD,,
P65702,reviewed,PGK_SALTY,"Phosphoglycerate kinase, EC 2.7.2.3",pgk STM3069,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),387,pgk,,
P65748,reviewed,IPYR_SALTY,"Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)",ppa STM4414,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),176,ppa,,
P65792,reviewed,PROB_SALTY,"Glutamate 5-kinase, EC 2.7.2.11 (Gamma-glutamyl kinase, GK)",proB STM0321,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),367,proB,,
P65836,reviewed,RLUD_SALTY,"Ribosomal large subunit pseudouridine synthase D, EC 5.4.99.23 (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)",rluD sfhB STM2662,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),326,rluD,,sfhB
P65840,reviewed,RSUA_SALTY,"Ribosomal small subunit pseudouridine synthase A, EC 5.4.99.19 (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)",rsuA STM2222,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),231,rsuA,,
P66008,reviewed,STHA_SALTY,"Soluble pyridine nucleotide transhydrogenase, STH, EC 1.6.1.1 (NAD(P)(+) transhydrogenase [B-specific])",sthA udhA STM4126,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),466,sthA,,udhA
P66030,reviewed,RIBA_SALTY,"GTP cyclohydrolase-2, EC 3.5.4.25 (GTP cyclohydrolase II)",ribA STM1711,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),196,ribA,,
P66032,reviewed,RIBB_SALTY,"3,4-dihydroxy-2-butanone 4-phosphate synthase, DHBP synthase, EC 4.1.99.12",ribB STM3195,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),217,ribB,,
P66038,reviewed,RISB_SALTY,"6,7-dimethyl-8-ribityllumazine synthase, DMRL synthase, LS, Lumazine synthase, EC 2.5.1.78",ribH STM0417,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),156,ribH,,
P66684,reviewed,RNT_SALTY,"Ribonuclease T, EC 3.1.13.- (Exoribonuclease T, RNase T)",rnt STM1434,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),215,rnt,,
P66692,reviewed,RPIA_SALTY,"Ribose-5-phosphate isomerase A, EC 5.3.1.6 (Phosphoriboisomerase A, PRI)",rpiA STM3063,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),219,rpiA,,
P66746,reviewed,RUVA_SALTY,"Holliday junction ATP-dependent DNA helicase RuvA, EC 3.6.4.12",ruvA STM1895,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),203,ruvA,,
P66755,reviewed,RUVB_SALTY,"Holliday junction ATP-dependent DNA helicase RuvB, EC 3.6.4.12",ruvB STM1894,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),336,ruvB,,
P66762,reviewed,RUVC_SALTY,"Crossover junction endodeoxyribonuclease RuvC, EC 3.1.21.10 (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)",ruvC STM1898,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),173,ruvC,,
P66869,reviewed,SUCC_SALTY,"Succinate--CoA ligase [ADP-forming] subunit beta, EC 6.2.1.5 (Succinyl-CoA synthetase subunit beta, SCS-beta)",sucC STM0738,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),388,sucC,,
P66881,reviewed,SURE_SALTY,"5'/3'-nucleotidase SurE, EC 3.1.3.5, EC 3.1.3.6 (Exopolyphosphatase, EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase)",surE STM2927,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),253,surE,,
P66932,reviewed,TIG_SALTY,"Trigger factor, TF, EC 5.2.1.8 (PPIase)",tig STM0447,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),432,tig,,
P66950,reviewed,BEPA_SALTY,"Beta-barrel assembly-enhancing protease, EC 3.4.-.-",bepA yfgC STM2494,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),487,bepA,,yfgC
P66955,reviewed,TALB_SALTY,"Transaldolase B, EC 2.2.1.2",talB STM0007,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),317,talB,,
P66974,reviewed,TRMJ_SALTY,"tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ, EC 2.1.1.200 (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)",trmJ STM2545,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),243,trmJ,,
P67038,reviewed,SYFA_SALTY,"Phenylalanine--tRNA ligase alpha subunit, EC 6.1.1.20 (Phenylalanyl-tRNA synthetase alpha subunit, PheRS)",pheS STM1337,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),327,pheS,,
P67161,reviewed,PLSY_SALTY,"Glycerol-3-phosphate acyltransferase (G3P acyltransferase, GPAT, EC 2.3.1.15, EC 2.3.1.n5) (Lysophosphatidic acid synthase, LPA synthase)",plsY ygiH STM3207,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),203,plsY,,ygiH
P67197,reviewed,PSRP_SALTY,"Phosphoenolpyruvate synthase regulatory protein, PEP synthase regulatory protein, PSRP, EC 2.7.11.33, EC 2.7.4.28 (Pyruvate, water dikinase regulatory protein)",ppsR STM1348,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),277,ppsR,,
P67341,reviewed,YMDB_SALTY,"O-acetyl-ADP-ribose deacetylase, EC 3.1.1.106 (Regulator of RNase III activity)",ymdB STM1147,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),179,ymdB,,
P67347,reviewed,MSRP_SALTY,"Protein-methionine-sulfoxide reductase catalytic subunit MsrP, EC 1.8.5.-",msrP STM3377,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),334,msrP,,
P67388,reviewed,UPPP_SALTY,"Undecaprenyl-diphosphatase, EC 3.6.1.27 (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)",uppP bacA upk STM3205,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),273,uppP,,bacA upk
P67408,reviewed,URK_SALTY,"Uridine kinase, EC 2.7.1.48 (Cytidine monophosphokinase) (Uridine monophosphokinase)",udk STM2122,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),213,udk,,
P67520,reviewed,RLMH_SALTY,"Ribosomal RNA large subunit methyltransferase H, EC 2.1.1.177 (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)",rlmH STM0641,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),155,rlmH,,
P67563,reviewed,SYS_SALTY,"Serine--tRNA ligase, EC 6.1.1.11 (Seryl-tRNA synthetase, SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",serS STM0963,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),430,serS,,
P67613,reviewed,LFTR_SALTY,"Leucyl/phenylalanyl-tRNA--protein transferase, EC 2.3.2.6 (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)",aat STM0955,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),234,aat,,
P67912,reviewed,HLDD_SALTY,"ADP-L-glycero-D-manno-heptose-6-epimerase, EC 5.1.3.20 (ADP-L-glycero-beta-D-manno-heptose-6-epimerase, ADP-glyceromanno-heptose 6-epimerase, ADP-hep 6-epimerase, AGME)",hldD rfaD STM3710,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),310,hldD,,rfaD
P68704,reviewed,ATPL_SALTY,"ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c, F-ATPase subunit c) (Lipid-binding protein)",atpE STM3870,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),79,atpE,,
